"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"1",76,0,"Ceratophyllaceae","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",1970,"United States of America","Massachusetts","53e11a08-e1de-4851-92e4-5fcae1d30dcf","PBRU00067821"
"2",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1982,"United States of America","Colorado","cef9e309-c62d-4742-9057-013556053d2d","PBRU00072075"
"3",58,0,"Limnanthaceae","Limnanthaceae","Floerkea","Floerkea proserpinacoides",1903,"United States of America","Vermont","b04dab69-d269-49a9-bdb5-c73c68aabf81","PBRU00018157"
"4",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",2016,"United States of America","Maine","d464605c-4eb6-4e3a-a21f-ba42ef310704","PBRU00056354"
"5",6,0,"Sarcobataceae","Sarcobataceae","Sarcobatus","Sarcobatus vermiculatus",1935,"United States of America","Nevada","575f04d5-52de-43ac-82ad-16becf042e54","PBRU00040162"
"6",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",2018,"United States of America","Rhode Island","cddc344f-3061-4dd8-9b56-fe9fc317dde1","PBRU00070337"
"7",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1903,"United States of America","Washington","f7da6307-dfe9-4c53-863c-e56d31e9b305","PBRU00006135"
"8",66,0,"Woodsiaceae","Woodsiaceae","Woodsia","Woodsia oregana",1936,"Canada","Quebec Province","04222a2f-842e-4b41-a878-94ab7d024c9f","PBRU00073169"
