"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"73",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"Canada","New Brunswick","19b81eb5-a6be-47ea-b297-5978080aa451","PBRU00005899"
"74",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New Hampshire","31da9315-907a-49d6-953d-65005ea8918f","PBRU00005903"
"75",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","Montana","8b859612-85fc-437f-9c2d-a2e3de760020","PBRU00005925"
"76",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"Russia","Altay","b37affb7-0fd7-49bc-85c9-c5e5f915367a","PBRU00005918"
"77",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","cbe1eee3-8799-4613-8b21-e1fa42845692","PBRU00005930"
"78",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","def7ac38-da57-4b37-8027-dcde0ae19d83","PBRU00005916"
"79",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","df2a1c56-d11b-4b30-9c42-dcdb6cc77616","PBRU00005929"
"80",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","Wyoming","f0b2c62e-b5b9-4357-8fcc-ed8de61e10e7","PBRU00005915"
"227",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1982,"United States of America","Colorado","cef9e309-c62d-4742-9057-013556053d2d","PBRU00072075"
"228",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1947,"United States of America","Wyoming","15460f76-413a-433c-b2b8-cdf5b940413a","PBRU00042130"
"229",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1947,"United States of America","Wyoming","5e007099-37f3-4ed0-b459-bffb751a41da","PBRU00042124"
"230",6,0,"Hydrophyllaceae","Boraginaceae","Hydrophyllum","Hydrophyllum capitatum",1947,"United States of America","Wyoming","746da299-8f3c-4ceb-8140-012369cf7aea","PBRU00045628"
"231",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1947,"United States of America","Wyoming","7de5ac65-9289-48e4-9067-972507fc5e71","PBRU00043556"
"232",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1947,"United States of America","Wyoming","b12b1a1d-647a-41e8-ac41-0fc1686c1270","PBRU00045404"
"233",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1943,"United States of America","Maryland","c63c19ec-81a8-448a-9f8d-e65b8fba4260","PBRU00042211"
"239",6,0,"Hydrophyllaceae","Hydrophyllaceae","Hesperochiron","Hesperochiron pumilus",1937,"United States of America","California","7306cc71-de08-4950-aad2-df3de5b3612c","PBRU00041692"
"253",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1934,"United States of America","Colorado","6558a961-59a3-4fce-9a22-c6e47b9c0ae9","PBRU00043552"
"254",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1934,"United States of America","Colorado","7866868a-ba14-49ea-a9b2-c0244a41d5bb","PBRU00043555"
