"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"69",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1859,"United States of America","Maine","363af94b-a409-4f13-8dc9-d6cb4d8e2c81","PBRU00005919"
"70",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1859,"United States of America","Maine","ce2054ef-b069-4653-9a30-195c6b1b5340","PBRU00005921"
"71",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1853,"United States of America","Vermont","59d253d6-f672-428c-aa33-28d826e7784a","PBRU00005923"
"72",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","Rhode Island","16c96fa4-9e20-4945-863c-37a7a1b2a0a4","PBRU00005897"
"73",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"Canada","New Brunswick","19b81eb5-a6be-47ea-b297-5978080aa451","PBRU00005899"
"74",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New Hampshire","31da9315-907a-49d6-953d-65005ea8918f","PBRU00005903"
"75",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","Montana","8b859612-85fc-437f-9c2d-a2e3de760020","PBRU00005925"
"76",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"Russia","Altay","b37affb7-0fd7-49bc-85c9-c5e5f915367a","PBRU00005918"
"77",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","cbe1eee3-8799-4613-8b21-e1fa42845692","PBRU00005930"
"78",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","def7ac38-da57-4b37-8027-dcde0ae19d83","PBRU00005916"
"79",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","New York","df2a1c56-d11b-4b30-9c42-dcdb6cc77616","PBRU00005929"
"80",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",NA,"United States of America","Wyoming","f0b2c62e-b5b9-4357-8fcc-ed8de61e10e7","PBRU00005915"
"81",0,0,"Loxsomataceae","Loxsomataceae","Loxsoma","Loxsoma cunninghamii",NA,"New Zealand","","69670938-58df-42fc-9f75-61bec2bbdc03","PBRU00073744"
"82",0,0,"Loxsomataceae","Loxsomataceae","Loxsoma","Loxsoma cunninghamii",NA,"New Zealand","","90acb347-1336-4606-93c1-330327414204","PBRU00073743"
"83",0,0,"Loxsomataceae","Loxsomataceae","Loxsoma","Loxsoma cunninghamii",NA,"New Zealand","","95f5d2c6-a07f-4d06-8b8a-ace4309fbecc","PBRU00068053"
"84",0,0,"Loxsomataceae","Loxsomataceae","Loxsoma","Loxsoma cunninghamii",NA,"New Zealand","","ffa16892-8e84-4ec5-a52d-7130d2005364","PBRU00068052"
