ids,class,match,multiple_matches,pattern_match,uri
955061,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955061
34469,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=34469
896871,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896871
896113,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896113
31356,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=31356
822761,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=822761
28442,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28442
955084,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955084
896865,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896865
896777,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896777
18090,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18090
897497,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897497
894967,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=894967
896386,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896386
897319,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897319
39091,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39091
897498,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897498
895563,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895563
835373,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=835373
896111,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896111
895557,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895557
19062,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19062
896981,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896981
18091,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18091
955081,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955081
955071,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955071
895525,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895525
39355,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39355
24092,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24092
896778,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896778
896872,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896872
834074,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=834074
955074,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955074
22597,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22597
894323,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=894323
22317,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22317
896867,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896867
896933,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896933
845712,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=845712
896053,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896053
896385,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896385
955076,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955076
955070,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955070
896448,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896448
896934,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896934
895170,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895170
18132,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18132
896779,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896779
27852,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27852
39090,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39090
27842,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27842
955063,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955063
18066,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18066
896501,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896501
35349,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35349
500064,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500064
19274,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19274
896815,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896815
500079,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500079
39214,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39214
897493,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897493
896482,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896482
22021,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22021
24096,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24096
894974,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=894974
896816,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896816
21348,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21348
28656,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28656
27123,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27123
897495,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897495
19036,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19036
18131,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18131
822762,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=822762
23444,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=23444
22334,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22334
500048,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500048
896782,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896782
896870,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896870
955072,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955072
29297,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29297
39217,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39217
18810,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18810
896935,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896935
896775,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896775
39119,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39119
955075,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955075
896033,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896033
955060,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955060
955065,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955065
895569,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895569
896387,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896387
19684,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19684
34467,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=34467
896781,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896781
27920,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27920
896717,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896717
21368,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21368
845093,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=845093
22311,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22311
38884,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38884
896776,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896776
500082,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500082
18873,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18873
39215,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39215
810125,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=810125
